build,crate,status,elapsed_seconds,timestamp,job_id
lazy2,syn-2.0.106,failed,2,2026-04-20T02:51:37Z,1603985
lazy2,zerocopy-0.8.31,success,625,2026-04-20T03:02:03Z,1603985
base,allocator-api2-0.2.21,failed,24,2026-04-20T03:03:09Z,1604246
base,chacha20-0.10.0,success,707,2026-04-20T03:14:57Z,1604246
base,either-1.11.0,success,12,2026-04-20T03:15:12Z,1604246
base,foldhash-0.2.0,success,13,2026-04-20T03:15:27Z,1604246
base,getrandom-0.4.0,success,23,2026-04-20T03:15:52Z,1604246
base,hashbrown-0.16.1,success,44,2026-04-20T03:16:37Z,1604246
base,indexmap-2.13.0,success,179,2026-04-20T03:19:37Z,1604246
base,itertools-0.14.0,success,778,2026-04-20T03:32:38Z,1604246
base,libc-0.2.178,success,12,2026-04-20T03:32:53Z,1604246
base,linux-raw-sys-0.11.0,success,4,2026-04-20T03:32:58Z,1604246
base,log-0.4.29,success,13,2026-04-20T03:33:12Z,1604246
base,memchr-2.7.6,success,353,2026-04-20T03:39:06Z,1604246
base,ppv-lite86-0.2.21,success,13,2026-04-20T03:39:22Z,1604246
base,proc-macro2-1.0.101,success,23,2026-04-20T03:39:46Z,1604246
base,rand-0.10.0,success,110,2026-04-20T03:41:37Z,1604246
base,regex-automata-0.4.13,failed,73,2026-04-20T03:42:52Z,1604246
base,rustix-1.1.3,failed,7,2026-04-20T03:43:00Z,1604246
base,serde_core-1.0.228,success,10,2026-04-20T03:43:11Z,1604246
base,socket2-0.6.1,success,5,2026-04-20T03:43:17Z,1604246
base,syn-2.0.106,failed,2,2026-04-20T03:43:20Z,1604246
base,zerocopy-0.8.31,success,633,2026-04-20T03:53:55Z,1604246
lazy,allocator-api2-0.2.21,failed,25,2026-04-20T03:54:24Z,1604246
lazy,chacha20-0.10.0,success,698,2026-04-20T04:06:03Z,1604246
lazy,either-1.11.0,success,13,2026-04-20T04:06:19Z,1604246
lazy,foldhash-0.2.0,success,13,2026-04-20T04:06:34Z,1604246
lazy,getrandom-0.4.0,success,23,2026-04-20T04:06:59Z,1604246
lazy,hashbrown-0.16.1,success,44,2026-04-20T04:07:44Z,1604246
lazy,indexmap-2.13.0,success,181,2026-04-20T04:10:46Z,1604246
lazy,itertools-0.14.0,success,779,2026-04-20T04:23:47Z,1604246
lazy,libc-0.2.178,success,13,2026-04-20T04:24:03Z,1604246
lazy,linux-raw-sys-0.11.0,success,4,2026-04-20T04:24:08Z,1604246
lazy,log-0.4.29,success,12,2026-04-20T04:24:21Z,1604246
lazy,memchr-2.7.6,success,350,2026-04-20T04:30:12Z,1604246
lazy,ppv-lite86-0.2.21,success,13,2026-04-20T04:30:28Z,1604246
lazy,proc-macro2-1.0.101,success,22,2026-04-20T04:30:51Z,1604246
lazy,rand-0.10.0,success,110,2026-04-20T04:32:43Z,1604246
lazy,regex-automata-0.4.13,failed,72,2026-04-20T04:33:57Z,1604246
lazy,rustix-1.1.3,failed,7,2026-04-20T04:34:06Z,1604246
lazy,serde_core-1.0.228,success,10,2026-04-20T04:34:17Z,1604246
lazy,socket2-0.6.1,success,4,2026-04-20T04:34:22Z,1604246
lazy,syn-2.0.106,failed,2,2026-04-20T04:34:26Z,1604246
lazy,zerocopy-0.8.31,success,662,2026-04-20T04:45:29Z,1604246
lazy2,allocator-api2-0.2.21,failed,25,2026-04-20T04:45:57Z,1604246
lazy2,chacha20-0.10.0,success,697,2026-04-20T04:57:35Z,1604246
lazy2,either-1.11.0,success,13,2026-04-20T04:57:51Z,1604246
lazy2,foldhash-0.2.0,success,13,2026-04-20T04:58:06Z,1604246
lazy2,getrandom-0.4.0,success,23,2026-04-20T04:58:31Z,1604246
lazy2,hashbrown-0.16.1,success,42,2026-04-20T04:59:14Z,1604246
lazy2,indexmap-2.13.0,success,172,2026-04-20T05:02:08Z,1604246
lazy2,itertools-0.14.0,success,736,2026-04-20T05:14:26Z,1604246
lazy2,libc-0.2.178,success,12,2026-04-20T05:14:41Z,1604246
lazy2,linux-raw-sys-0.11.0,success,4,2026-04-20T05:14:46Z,1604246
lazy2,log-0.4.29,success,12,2026-04-20T05:14:59Z,1604246
lazy2,memchr-2.7.6,success,338,2026-04-20T05:20:38Z,1604246
lazy2,ppv-lite86-0.2.21,success,12,2026-04-20T05:20:53Z,1604246
lazy2,proc-macro2-1.0.101,success,21,2026-04-20T05:21:16Z,1604246
lazy2,rand-0.10.0,success,105,2026-04-20T05:23:03Z,1604246
lazy2,regex-automata-0.4.13,failed,71,2026-04-20T05:24:16Z,1604246
lazy2,rustix-1.1.3,failed,7,2026-04-20T05:24:24Z,1604246
lazy2,serde_core-1.0.228,success,10,2026-04-20T05:24:35Z,1604246
lazy2,socket2-0.6.1,success,4,2026-04-20T05:24:40Z,1604246
lazy2,syn-2.0.106,failed,2,2026-04-20T05:24:44Z,1604246
lazy2,zerocopy-0.8.31,success,634,2026-04-20T05:35:19Z,1604246
